folio;commune;hhsize
1;1;4
2;1;4
3;1;5
4;1;6
5;1;4
6;1;6
7;1;5
8;1;4
9;1;5
10;1;4
11;1;7
12;1;4
13;1;2
14;1;6
15;1;3
16;1;4
17;1;5
18;1;2
19;1;3
20;1;4
21;1;4
22;1;4
23;1;5
24;1;4
25;1;5
26;1;4
27;1;3
28;1;5
29;1;6
30;1;4
31;2;5
32;2;2
33;2;4
34;2;3
35;2;6
36;2;4
37;2;7
38;2;4
39;2;2
40;2;2
41;2;3
42;2;3
43;2;2
44;2;4
45;2;4
46;2;3
47;2;4
48;2;4
49;2;5
50;2;6
51;2;2
52;2;5
53;2;2
54;2;5
55;2;3
56;2;2
57;2;2
58;2;5
59;2;8
60;2;5
61;2;6
62;2;6
63;2;2
64;2;6
65;2;4
66;2;2
67;2;4
68;2;2
69;2;4
70;2;2
71;2;3
72;2;4
73;1;4
74;1;3
75;1;5
76;1;3
77;1;4
78;1;3
79;1;5
80;1;3
81;1;2
82;1;3
83;3;5
84;3;0
85;3;4
86;3;3
87;3;3
88;3;2
89;3;2
90;3;4
91;3;1
92;3;3
93;3;6
94;3;5
95;3;4
96;3;6
97;3;6
98;3;2
99;3;4
100;3;5
101;2;2
102;2;3
103;2;4
104;2;3
105;2;2
106;2;4
107;2;3
108;2;2
109;2;2
110;2;2
111;2;1
112;2;4
113;2;3
114;2;2
115;2;3
116;2;3
117;2;3
118;2;5
119;4;1
120;2;2
121;2;2
122;2;1
123;2;4
124;2;5
125;2;2
126;2;2
127;2;2
128;2;2
129;2;4
130;2;2
131;4;5
132;2;2
133;4;5
134;2;3
135;2;4
136;2;5
137;2;2
138;2;3
139;2;3
140;2;3
141;2;3
142;2;3
143;2;5
144;2;3
145;2;4
146;2;5
147;2;4
148;2;1
149;2;3
150;4;4
151;4;5
152;4;5
153;4;2
154;4;5
155;4;7
156;4;4
157;4;9
158;4;3
159;4;4
160;4;3
161;3;4
162;3;4
163;3;4
164;3;2
165;3;4
166;3;8
167;3;3
168;3;6
169;3;3
170;3;5
171;3;5
172;3;3
173;3;7
174;3;6
175;3;5
176;3;3
177;3;3
178;3;7
179;3;3
180;3;8
181;3;2
182;3;5
183;3;3
184;3;5
185;3;3
186;3;5
187;3;2
188;3;3
189;3;4
190;3;4
191;3;5
192;3;3
193;3;3
194;3;3
195;3;7
196;3;4
197;3;1
198;3;3
199;3;3
200;3;6
201;3;6
202;3;6
203;3;3
204;3;4
205;3;2
206;3;4
207;3;4
208;3;7
209;3;3
210;3;2
211;3;4
212;3;3
213;3;3
214;3;5
215;3;2
216;3;5
217;3;5
218;4;2
219;4;7
220;4;3
221;4;7
222;4;2
223;4;2
224;4;2
225;4;5
226;4;5
227;4;5
228;4;5
229;4;2
230;4;6
231;4;1
232;4;4
233;4;2
234;4;4
235;4;1
236;4;4
237;3;5
238;3;5
239;3;7
240;3;5
241;3;3
242;3;3
243;3;10
244;3;3
245;3;3
246;3;2
247;3;4
248;3;3
249;3;4
250;3;4
251;3;4
252;4;3
253;4;3
254;4;4
255;4;6
256;4;3
257;4;2
258;4;4
259;4;3
260;4;3
261;4;6
262;4;4
263;4;2
264;4;2
265;4;5
266;4;4
267;4;3
268;4;4
269;4;6
270;4;5
271;4;4
272;4;4
273;4;2
274;4;1
